job_n,Energy,n_helices,r0_A,r0_B,r0_C,omega0,delta_omega0_A,delta_omega0_B,delta_omega0_C,z0_offset_A,z0_offset_B,z0_offset_C,helix1 phase,helix 2 phase,helix3 phase,invert_A,invert_B,invert_C,z1_offset_A,z1_offset_B,z1_offset_C,delta_t_A,delta_t_B,delta_t_C,omega1,z1
36075,-380.947,3,6,6,6,0,0,120,240,0,0,0,0,0,40,0,1,0,0,-3,-0.6,0,0,0,99.999268,1.51
36096,-371.814,3,6,6,6,0,0,120,240,0,0,0,0,0,40,0,1,0,0,0.6,3,0,0,0,99.999268,1.51
36104,-400.11,3,6,6,6,0,0,120,240,0,0,0,0,0,40,0,1,0,0,3,-1.8,0,0,0,99.999268,1.51
36101,-395.896,3,6,6,6,0,0,120,240,0,0,0,0,0,40,0,1,0,0,1.8,1.8,0,0,0,99.999268,1.51
36106,-377.502,3,6,6,6,0,0,120,240,0,0,0,0,0,40,0,1,0,0,3,0.6,0,0,0,99.999268,1.51
36097,-400.616,3,6,6,6,0,0,120,240,0,0,0,0,0,40,0,1,0,0,1.8,-3,0,0,0,99.999268,1.51
36102,-397.784,3,6,6,6,0,0,120,240,0,0,0,0,0,40,0,1,0,0,1.8,3,0,0,0,99.999268,1.51
36080,-406.383,3,6,6,6,0,0,120,240,0,0,0,0,0,40,0,1,0,0,-1.8,-1.8,0,0,0,99.999268,1.51
36091,-395.352,3,6,6,6,0,0,120,240,0,0,0,0,0,40,0,1,0,0,0.6,-3,0,0,0,99.999268,1.51
36089,-386.271,3,6,6,6,0,0,120,240,0,0,0,0,0,40,0,1,0,0,-0.6,1.8,0,0,0,99.999268,1.51
36079,-397.875,3,6,6,6,0,0,120,240,0,0,0,0,0,40,0,1,0,0,-1.8,-3,0,0,0,99.999268,1.51
36082,-408.457,3,6,6,6,0,0,120,240,0,0,0,0,0,40,0,1,0,0,-1.8,0.6,0,0,0,99.999268,1.51
36107,-392.097,3,6,6,6,0,0,120,240,0,0,0,0,0,40,0,1,0,0,3,1.8,0,0,0,99.999268,1.51
36086,-397.456,3,6,6,6,0,0,120,240,0,0,0,0,0,40,0,1,0,0,-0.6,-1.8,0,0,0,99.999268,1.51
36112,-389.547,3,6,6,6,0,0,120,240,0,0,0,0,0,60,0,1,0,0,-3,0.6,0,0,0,99.999268,1.51
36113,-394.091,3,6,6,6,0,0,120,240,0,0,0,0,0,60,0,1,0,0,-3,1.8,0,0,0,99.999268,1.51
36129,-400.509,3,6,6,6,0,0,120,240,0,0,0,0,0,60,0,1,0,0,0.6,-0.6,0,0,0,99.999268,1.51
36128,-399.872,3,6,6,6,0,0,120,240,0,0,0,0,0,60,0,1,0,0,0.6,-1.8,0,0,0,99.999268,1.51
36127,-396.897,3,6,6,6,0,0,120,240,0,0,0,0,0,60,0,1,0,0,0.6,-3,0,0,0,99.999268,1.51
36135,-398.32,3,6,6,6,0,0,120,240,0,0,0,0,0,60,0,1,0,0,1.8,-0.6,0,0,0,99.999268,1.51
36138,-420.764,3,6,6,6,0,0,120,240,0,0,0,0,0,60,0,1,0,0,1.8,3,0,0,0,99.999268,1.51
36117,-388.057,3,6,6,6,0,0,120,240,0,0,0,0,0,60,0,1,0,0,-1.8,-0.6,0,0,0,99.999268,1.51
36132,-409.619,3,6,6,6,0,0,120,240,0,0,0,0,0,60,0,1,0,0,0.6,3,0,0,0,99.999268,1.51
36114,-401.422,3,6,6,6,0,0,120,240,0,0,0,0,0,60,0,1,0,0,-3,3,0,0,0,99.999268,1.51
36122,-402.694,3,6,6,6,0,0,120,240,0,0,0,0,0,60,0,1,0,0,-0.6,-1.8,0,0,0,99.999268,1.51
36143,-400.903,3,6,6,6,0,0,120,240,0,0,0,0,0,60,0,1,0,0,3,1.8,0,0,0,99.999268,1.51
36116,-411.634,3,6,6,6,0,0,120,240,0,0,0,0,0,60,0,1,0,0,-1.8,-1.8,0,0,0,99.999268,1.51
36133,-383.055,3,6,6,6,0,0,120,240,0,0,0,0,0,60,0,1,0,0,1.8,-3,0,0,0,99.999268,1.51
36142,-402.729,3,6,6,6,0,0,120,240,0,0,0,0,0,60,0,1,0,0,3,0.6,0,0,0,99.999268,1.51
36118,-394.981,3,6,6,6,0,0,120,240,0,0,0,0,0,60,0,1,0,0,-1.8,0.6,0,0,0,99.999268,1.51
36144,-416.3,3,6,6,6,0,0,120,240,0,0,0,0,0,60,0,1,0,0,3,3,0,0,0,99.999268,1.51
36119,-400.668,3,6,6,6,0,0,120,240,0,0,0,0,0,60,0,1,0,0,-1.8,1.8,0,0,0,99.999268,1.51
36141,-408.209,3,6,6,6,0,0,120,240,0,0,0,0,0,60,0,1,0,0,3,-0.6,0,0,0,99.999268,1.51
36137,-412.455,3,6,6,6,0,0,120,240,0,0,0,0,0,60,0,1,0,0,1.8,1.8,0,0,0,99.999268,1.51
36115,-392.027,3,6,6,6,0,0,120,240,0,0,0,0,0,60,0,1,0,0,-1.8,-3,0,0,0,99.999268,1.51
36124,-405.574,3,6,6,6,0,0,120,240,0,0,0,0,0,60,0,1,0,0,-0.6,0.6,0,0,0,99.999268,1.51
36126,-410.736,3,6,6,6,0,0,120,240,0,0,0,0,0,60,0,1,0,0,-0.6,3,0,0,0,99.999268,1.51
36147,-382.613,3,6,6,6,0,0,120,240,0,0,0,0,0,80,0,1,0,0,-3,-0.6,0,0,0,99.999268,1.51
36149,-395.241,3,6,6,6,0,0,120,240,0,0,0,0,0,80,0,1,0,0,-3,1.8,0,0,0,99.999268,1.51
36146,-404.042,3,6,6,6,0,0,120,240,0,0,0,0,0,80,0,1,0,0,-3,-1.8,0,0,0,99.999268,1.51
36164,-394.979,3,6,6,6,0,0,120,240,0,0,0,0,0,80,0,1,0,0,0.6,-1.8,0,0,0,99.999268,1.51
36151,-402.32,3,6,6,6,0,0,120,240,0,0,0,0,0,80,0,1,0,0,-1.8,-3,0,0,0,99.999268,1.51
36179,-400.958,3,6,6,6,0,0,120,240,0,0,0,0,0,80,0,1,0,0,3,1.8,0,0,0,99.999268,1.51
36154,-398.834,3,6,6,6,0,0,120,240,0,0,0,0,0,80,0,1,0,0,-1.8,0.6,0,0,0,99.999268,1.51
36167,-398.356,3,6,6,6,0,0,120,240,0,0,0,0,0,80,0,1,0,0,0.6,1.8,0,0,0,99.999268,1.51
36174,-395.556,3,6,6,6,0,0,120,240,0,0,0,0,0,80,0,1,0,0,1.8,3,0,0,0,99.999268,1.51
36178,-393.179,3,6,6,6,0,0,120,240,0,0,0,0,0,80,0,1,0,0,3,0.6,0,0,0,99.999268,1.51
36159,-387.078,3,6,6,6,0,0,120,240,0,0,0,0,0,80,0,1,0,0,-0.6,-0.6,0,0,0,99.999268,1.51
36161,-397.36,3,6,6,6,0,0,120,240,0,0,0,0,0,80,0,1,0,0,-0.6,1.8,0,0,0,99.999268,1.51
36181,-379.289,3,6,6,6,0,0,120,240,0,0,0,0,0,100,0,1,0,0,-3,-3,0,0,0,99.999268,1.51
36200,-396.748,3,6,6,6,0,0,120,240,0,0,0,0,0,100,0,1,0,0,0.6,-1.8,0,0,0,99.999268,1.51
36199,-387.591,3,6,6,6,0,0,120,240,0,0,0,0,0,100,0,1,0,0,0.6,-3,0,0,0,99.999268,1.51
36187,-385.563,3,6,6,6,0,0,120,240,0,0,0,0,0,100,0,1,0,0,-1.8,-3,0,0,0,99.999268,1.51
36204,-412.426,3,6,6,6,0,0,120,240,0,0,0,0,0,100,0,1,0,0,0.6,3,0,0,0,99.999268,1.51
36186,-391.925,3,6,6,6,0,0,120,240,0,0,0,0,0,100,0,1,0,0,-3,3,0,0,0,99.999268,1.51
36202,-390.732,3,6,6,6,0,0,120,240,0,0,0,0,0,100,0,1,0,0,0.6,0.6,0,0,0,99.999268,1.51
36190,-397.585,3,6,6,6,0,0,120,240,0,0,0,0,0,100,0,1,0,0,-1.8,0.6,0,0,0,99.999268,1.51
36201,-389.184,3,6,6,6,0,0,120,240,0,0,0,0,0,100,0,1,0,0,0.6,-0.6,0,0,0,99.999268,1.51
36203,-405.689,3,6,6,6,0,0,120,240,0,0,0,0,0,100,0,1,0,0,0.6,1.8,0,0,0,99.999268,1.51
36193,-389.896,3,6,6,6,0,0,120,240,0,0,0,0,0,100,0,1,0,0,-0.6,-3,0,0,0,99.999268,1.51
36208,-396.896,3,6,6,6,0,0,120,240,0,0,0,0,0,100,0,1,0,0,1.8,0.6,0,0,0,99.999268,1.51
36195,-389.751,3,6,6,6,0,0,120,240,0,0,0,0,0,100,0,1,0,0,-0.6,-0.6,0,0,0,99.999268,1.51
36198,-395.911,3,6,6,6,0,0,120,240,0,0,0,0,0,100,0,1,0,0,-0.6,3,0,0,0,99.999268,1.51
36217,-375.887,3,6,6,6,0,0,120,240,0,0,0,0,0,120,0,1,0,0,-3,-3,0,0,0,99.999268,1.51
36214,-395.543,3,6,6,6,0,0,120,240,0,0,0,0,0,100,0,1,0,0,3,0.6,0,0,0,99.999268,1.51
36197,-395.955,3,6,6,6,0,0,120,240,0,0,0,0,0,100,0,1,0,0,-0.6,1.8,0,0,0,99.999268,1.51
36192,-397.961,3,6,6,6,0,0,120,240,0,0,0,0,0,100,0,1,0,0,-1.8,3,0,0,0,99.999268,1.51
36213,-355.578,3,6,6,6,0,0,120,240,0,0,0,0,0,100,0,1,0,0,3,-0.6,0,0,0,99.999268,1.51
36210,-386.847,3,6,6,6,0,0,120,240,0,0,0,0,0,100,0,1,0,0,1.8,3,0,0,0,99.999268,1.51
36196,-404.286,3,6,6,6,0,0,120,240,0,0,0,0,0,100,0,1,0,0,-0.6,0.6,0,0,0,99.999268,1.51
36211,-382.375,3,6,6,6,0,0,120,240,0,0,0,0,0,100,0,1,0,0,3,-3,0,0,0,99.999268,1.51
